City,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
阿坝州,27,3,6,0.3,3,79,52,7
阿克苏地区,184,63,315,0.45,11,69,50,6
阿拉善盟,46,7,17,0.33,6,85,91,7
阿勒泰地区,34,7,0,0.35,3,69,66,2
阿里地区,41,13,4,0.2,9,108,80,4
安康,28,14,27,0.77,15,53,30,6
安庆,91,67,92,0.85,19,162,102,13
鞍山,45,29,44,1.03,29,27,18,7
安顺,34,11,16,0.4,5,80,66,4
安阳,33,14,32,1.4,39,27,34,9
白城,30,16,29,0.5,11,67,59,6
百色,57,33,62,1.1,11,131,73,14
白山,98,73,99,0.85,19,38,49,4
白银,39,5,11,0.5,9,78,77,4
保定,19,13,18,0.3,14,56,34,6
宝鸡,23,6,12,0.54,19,53,44,3
保山,36,9,35,0.9,6,62,47,6
包头,29,5,11,0.57,13,54,56,8
巴彦淖尔,28,8,17,0.4,10,56,55,3
巴中,26,14,25,0.65,18,26,17,3
北海,58,30,63,0.95,15,103,103,9
北京,15,4,6,0.32,18,40,28,2
蚌埠,80,53,79,0.78,24,183,120,17
本溪,31,19,30,0.9,25,23,16,7
毕节,39,14,28,0.45,6,109,77,8
滨州,81,59,67,2.77,32,20,27,5
博州,30,18,29,0.6,13,57,42,15
亳州,86,31,61,0.7,10,178,141,11
沧州,33,23,29,0.33,24,58,30,9
长春,38,14,37,0.86,31,47,41,10
常德,94,70,134,1.2,13,72,52,14
昌都,38,13,33,0.7,3,104,74,8
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,34,12,19,0.57,11,90,66,5
长沙,75,54,96,0.86,22,127,68,8
常熟,41,13,38,0.6,15,88,81,14
长治,33,22,32,1.86,35,19,17,5
常州,38,21,37,0.77,30,76,63,12
朝阳,22,13,12,0.65,18,48,43,8
潮州,33,18,32,0.63,6,74,62,9
承德,23,15,22,0.2,18,45,29,4
成都,27,18,26,0.76,30,23,20,9
郴州,92,68,110,1.32,17,121,79,8
赤峰,22,14,8,0.3,16,46,42,7
池州,99,74,116,0.87,35,103,88,18
重庆,61,39,70,0.97,32,167,83,10
崇左,42,28,37,0.8,5,121,82,2
楚雄州,25,9,14,0.6,5,56,49,9
滁州,84,40,69,0.97,25,186,119,18
大连,30,9,14,1.22,34,21,59,6
大理州,24,11,0,0.6,12,60,46,5
丹东,29,16,28,0.67,24,51,39,6
大庆,28,12,14,0.38,13,63,55,7
大同,23,3,17,0.8,12,42,44,8
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,25,4,14,0.85,12,62,49,23
达州,36,15,29,0.74,26,83,71,7
德宏州,26,12,22,0.3,3,67,51,14
德阳,14,3,13,0.65,9,42,20,5
德州,18,9,15,1.7,22,32,31,6
定西,38,20,37,0.45,17,65,64,6
迪庆州,36,0,35,0.35,7,73,56,4
东莞,47,23,42,0.64,19,89,93,7
东营,82,60,94,1.9,36,38,31,13
鄂尔多斯,29,8,12,0.72,17,67,56,5
恩施州,38,26,35,0.9,7,75,49,4
鄂州,67,48,70,1.17,12,171,100,13
防城港,68,44,62,0.9,15,125,120,10
佛山,56,25,57,0.55,20,117,106,7
抚顺,49,34,31,0.58,23,34,25,9
阜新,23,8,14,0.28,16,47,45,5
阜阳,91,51,87,0.73,15,191,148,10
富阳,35,15,20,0.6,10,69,68,9
福州,23,14,22,0.6,12,38,42,5
抚州,46,32,35,0.7,6,98,82,9
甘南州,28,8,10,0.4,8,62,54,6
赣州,47,27,46,0.96,14,81,87,8
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,39,14,25,0.5,8,90,76,17
广安,45,22,44,0.75,9,121,66,7
广元,24,6,10,0.65,11,53,46,10
广州,44,20,37,0.68,25,87,86,8
贵港,59,29,60,0.75,18,119,109,9
桂林,63,40,61,0.63,11,126,114,10
贵阳,40,12,33,0.43,10,96,79,5
果洛州,37,15,0,0.3,10,76,73,14
固原,34,10,12,0.5,11,63,66,4
哈尔滨,29,9,25,0.38,24,61,56,18
海北州,35,15,18,0.8,16,73,68,10
海东地区,28,12,21,1.4,12,83,54,9
海口,19,4,18,0.54,3,32,29,4
海门,38,16,37,0.5,10,66,69,8
海南州,32,13,19,0.6,6,69,62,8
海西州,53,25,54,0.6,9,90,85,24
哈密地区,38,11,37,0.9,7,91,64,3
邯郸,40,28,37,0.83,36,29,31,3
杭州,52,27,51,0.67,22,139,101,9
汉中,22,7,11,0.75,13,43,42,17
鹤壁,37,23,36,1.67,35,40,35,11
河池,52,34,52,0.8,10,125,79,9
合肥,94,49,84,0.91,34,194,134,10
鹤岗,30,8,14,0.4,11,65,59,6
黑河,40,12,23,0.4,18,81,79,21
衡水,30,21,21,0.97,45,10,37,2
衡阳,88,65,94,1.0,18,144,100,12
和田地区,500,210,837,0.6,6,98,71,8
河源,32,16,30,0.67,9,73,63,4
菏泽,74,53,93,1.47,31,27,25,10
贺州,70,50,83,1.05,9,129,101,5
红河州,39,12,25,0.27,4,103,77,12
淮安,58,31,64,0.48,14,118,91,8
淮北,58,23,60,0.5,13,127,108,15
怀化,68,30,84,1.44,14,65,55,8
淮南,111,69,121,0.93,23,220,155,14
黄冈,88,36,66,0.85,16,189,122,7
黄南州,25,12,24,0.9,17,45,43,5
黄山,39,7,27,0.5,14,74,76,10
黄石,74,53,84,1.24,26,165,112,11
呼和浩特,31,4,10,0.6,14,74,60,8
惠州,42,18,41,0.63,13,81,73,7
葫芦岛,32,22,16,0.6,18,43,40,16
呼伦贝尔,28,6,12,0.3,13,69,54,1
湖州,65,46,69,0.87,39,93,73,14
佳木斯,27,6,17,0.38,13,50,52,8
吉安,51,32,50,0.3,8,70,80,12
江门,72,29,86,0.85,32,136,125,7
江阴,46,23,45,0.6,22,84,90,9
胶南,60,11,29,0.5,16,89,110,5
胶州,44,8,23,0.45,19,102,87,8
焦作,67,48,60,1.75,36,7,9,5
嘉兴,42,19,36,0.63,14,88,83,7
嘉峪关,63,18,73,0.5,13,70,64,3
揭阳,50,18,49,0.73,8,96,79,11
吉林,89,66,62,0.84,30,40,35,17
即墨,47,11,28,0.3,10,91,92,1
济南,148,113,200,1.84,47,9,13,12
金昌,35,3,24,0.23,6,70,69,4
晋城,33,17,32,1.42,37,45,28,4
景德镇,44,17,22,0.7,6,77,87,10
荆门,69,43,85,0.96,24,93,60,16
荆州,69,48,86,1.2,26,118,62,11
金华,56,25,40,0.43,16,133,106,8
济宁,101,70,150,1.2,50,87,90,15
金坛,51,24,46,0.6,12,128,100,16
晋中,29,10,12,1.05,21,51,56,8
锦州,21,13,18,0.52,16,44,41,8
九江,66,39,65,0.5,14,146,118,17
酒泉,34,21,33,0.25,8,73,66,6
鸡西,19,10,18,0.25,12,35,27,2
句容,93,21,55,0.4,19,193,132,7
开封,43,21,42,1.1,22,33,31,4
喀什地区,469,303,568,0.45,10,56,54,6
克拉玛依,29,10,28,0.5,11,64,44,5
克州,483,220,582,0.9,8,70,63,6
库尔勒,64,19,76,1.47,7,88,69,3
昆明,39,16,38,0.66,16,83,62,11
昆山,48,15,39,0.6,20,57,68,143
来宾,64,45,72,0.55,10,159,108,9
莱芜,52,34,52,0.73,18,112,81,12
莱西,56,19,40,0.3,12,100,106,10
莱州,54,17,56,0.45,18,85,77,6
廊坊,20,11,19,0.35,23,37,31,2
兰州,31,17,30,0.42,23,64,61,5
拉萨,39,9,37,0.48,6,102,76,6
乐山,93,69,98,0.9,19,103,46,10
凉山州,31,8,15,0.62,12,69,60,19
连云港,43,17,37,0.54,15,92,84,11
聊城,22,15,21,1.3,28,28,21,6
辽阳,38,26,25,0.57,25,26,17,9
辽源,56,39,47,0.85,23,59,46,7
丽江,33,9,32,0.8,7,73,56,11
临安,48,20,47,0.8,8,125,87,10
临沧,30,6,29,0.75,31,55,39,7
临汾,18,12,15,1.37,28,12,16,9
临夏州,30,20,28,0.5,8,62,58,8
临沂,54,24,56,0.65,16,138,103,8
林芝,54,7,55,0.15,5,75,56,3
林芝地区,18,4,16,0.35,6,51,35,3
丽水,52,33,51,0.83,18,90,75,6
六盘水,42,20,41,0.34,16,80,63,16
柳州,48,33,46,0.68,10,97,85,11
溧阳,59,17,27,0.8,16,140,109,19
陇南,26,7,8,0.3,12,52,51,15
龙岩,32,14,31,0.53,10,75,58,6
娄底,59,41,56,1.92,11,141,105,9
六安,81,40,66,0.57,16,163,136,11
